id,name,full_name,language,new stars,description,forks_count,stargazers_count,owner
38380854,dnSpy,dnSpy/dnSpy,C#,294,.NET debugger and assembly editor,3409,18776,|{'html_url': 'https://github.com/dnSpy/dnSpy', 'avatar_url': 'https://avatars.githubusercontent.com/u/38380854?v=4', 'login': 'dnSpy'}|
64290739,practical-aspnetcore,dodyg/practical-aspnetcore,C#,143,|Practical samples of ASP.NET Core 2.1, 2.2, 3.1, 5.0 and 6.0 Preview 6 projects you can use. Readme contains explanations on all projects.|,750,5872,|{'html_url': 'https://github.com/dodyg/practical-aspnetcore', 'avatar_url': 'https://avatars.githubusercontent.com/u/64290739?v=4', 'login': 'practical-aspnetcore'}|
132453438,uno,unoplatform/uno,C#,637,|Build Mobile, Desktop and WebAssembly apps with C# and XAML. Today. Open source and professionally supported.|,438,5611,|{'html_url': 'https://github.com/unoplatform/uno', 'avatar_url': 'https://avatars.githubusercontent.com/u/132453438?v=4', 'login': 'uno'}|
26884725,OrchardCore,OrchardCMS/OrchardCore,C#,119,|Orchard Core is an open-source modular and multi-tenant application framework built with ASP.NET Core, and a content management system (CMS) built on top of that framework.|,1805,5274,|{'html_url': 'https://github.com/OrchardCMS/OrchardCore', 'avatar_url': 'https://avatars.githubusercontent.com/u/26884725?v=4', 'login': 'OrchardCore'}|
778828,MassTransit,MassTransit/MassTransit,C#,100,Distributed Application Framework for .NET,1165,3767,|{'html_url': 'https://github.com/MassTransit/MassTransit', 'avatar_url': 'https://avatars.githubusercontent.com/u/778828?v=4', 'login': 'MassTransit'}|
224109382,ant-design-blazor,ant-design-blazor/ant-design-blazor,C#,128,🌈A set of enterprise-class UI components based on Ant Design and Blazor WebAssembly.,494,3571,|{'html_url': 'https://github.com/ant-design-blazor/ant-design-blazor', 'avatar_url': 'https://avatars.githubusercontent.com/u/224109382?v=4', 'login': 'ant-design-blazor'}|
2928944,azure-sdk-for-net,Azure/azure-sdk-for-net,C#,405,This repository is for active development of the Azure SDK for .NET. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/en-us/dotnet/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-net. ,2872,2831,|{'html_url': 'https://github.com/Azure/azure-sdk-for-net', 'avatar_url': 'https://avatars.githubusercontent.com/u/2928944?v=4', 'login': 'azure-sdk-for-net'}|
151148482,elsa-core,elsa-workflows/elsa-core,C#,114,A .NET Standard 2.0 Workflows Library,476,2369,|{'html_url': 'https://github.com/elsa-workflows/elsa-core', 'avatar_url': 'https://avatars.githubusercontent.com/u/151148482?v=4', 'login': 'elsa-core'}|
184286875,runner,actions/runner,C#,116,The Runner for GitHub Actions :rocket:,397,1919,|{'html_url': 'https://github.com/actions/runner', 'avatar_url': 'https://avatars.githubusercontent.com/u/184286875?v=4', 'login': 'runner'}|
39425864,tModLoader,tModLoader/tModLoader,C#,82,A mod to make and play Terraria mods. Supports Terraria 1.4 installations - TML itself is 1.3 Terraria currently,838,1854,|{'html_url': 'https://github.com/tModLoader/tModLoader', 'avatar_url': 'https://avatars.githubusercontent.com/u/39425864?v=4', 'login': 'tModLoader'}|
324473895,downkyi,leiurayer/downkyi,C#,474,哔哩下载姬downkyi，B站视频下载工具，支持批量下载，支持4K，支持解除地区限制下载，提供工具箱（音视频提取、去水印等）。,273,1705,|{'html_url': 'https://github.com/leiurayer/downkyi', 'avatar_url': 'https://avatars.githubusercontent.com/u/324473895?v=4', 'login': 'downkyi'}|
176523594,Remotely,lucent-sea/Remotely,C#,257,|A remote control and remote scripting solution, built with .NET 5, Blazor, SignalR Core, and WebRTC.|,610,1424,|{'html_url': 'https://github.com/lucent-sea/Remotely', 'avatar_url': 'https://avatars.githubusercontent.com/u/176523594?v=4', 'login': 'Remotely'}|
68534745,FFXIVQuickLauncher,goatcorp/FFXIVQuickLauncher,C#,92,Custom launcher for Final Fantasy XIV,96,714,|{'html_url': 'https://github.com/goatcorp/FFXIVQuickLauncher', 'avatar_url': 'https://avatars.githubusercontent.com/u/68534745?v=4', 'login': 'FFXIVQuickLauncher'}|
262661480,warp-plus-cloudflare,ALIILAPRO/warp-plus-cloudflare,C#,85,Script for getting unlimited GB on Warp+ ( https://1.1.1.1/ ),261,602,|{'html_url': 'https://github.com/ALIILAPRO/warp-plus-cloudflare', 'avatar_url': 'https://avatars.githubusercontent.com/u/262661480?v=4', 'login': 'warp-plus-cloudflare'}|
381490636,WinPass11,ArkaneDev/WinPass11,C#,63,🔑 WinPass11 is a tool for installing Windows 11 on unsupported hardware.,30,140,|{'html_url': 'https://github.com/ArkaneDev/WinPass11', 'avatar_url': 'https://avatars.githubusercontent.com/u/381490636?v=4', 'login': 'WinPass11'}|
